,专业本科,专业研究生,专业类别,基层工作最低年限,学位要求,学历要求,序号,招录人数,招录机关,招考对象,政治面貌,用人单位(部门),职位代码,职位名称,职位简介,其他条件,备注,gsr_f,gsr_f_no,gsr_m,gsr_m_no,job_no
1353,"理学,工学,管理学  ","理学,工学,管理学 ",信息管理,不限,学士,本科及以上,407,1,静安区,不限,不限,科委,2011354,园区管理科四级主任科员及以下,推进张江高新区静安分园建设及统计和绩效评价工作，推进众创空间和孵化器建设，编制发展中长期规划等工作。,,,False,0,False,0,1
1354,"环境科学与工程类,法学类 ","环境科学与工程类,法学类 ",综合管理,不限,学士,本科及以上,408,1,静安区,不限,不限,生态环境局,2011355,环评与排放管理科一级科员,负责开展环境影响评价管理、排污许可协调管理，组织开展建筑玻璃幕墙光反射影响论证等工作。,熟悉和了解环境保护、环境管理相关的法律法规和业务知识，具有较强的语言文字表达能力。,,False,0,False,0,1
1355,"经济学,医学,管理学  ","经济学,医学,管理学 ",综合管理,不限,学士,本科及以上,409,1,静安区,不限,不限,医保局,2011356,待遇保障科一级科员,承担本市基本医疗保险、医疗救助、长护险等政策执行及管理工作。,,具有医疗机构从业背景者优先。 ,False,0,False,0,1
1356,,法学 ,政法,不限,硕士,硕士研究生,410,1,静安区,不限,不限,司法局,2011357,办公室一级科员,负责起草撰写各类文稿、信息，处理文秘、会议筹办等工作。,具有较强的组织协调和语言文字表达能力，熟悉公文写作。,,False,0,False,0,1
1357,法学 ,,政法,不限,学士,本科,411,2,静安区,不限,不限,司法局,2011358,街道司法所一级科员,负责街道区域内人民调解、法治宣传、法律援助、安置帮教、社区矫正等工作。,熟悉法律法规及相关政策，具有较强的专业知识和理论功底，能够依法调处矛盾纠纷，开展群众法治宣传工作，具有应对突发事件和处理复杂问题的能力。,,False,0,False,0,2
1358,计算机类 ,,信息管理,不限,学士,本科,412,1,静安区,不限,不限,市场监管局,2011359,市场规范监督管理科（网络商品交易监督管理科）一级科员,负责信息化建设管理，从事信息系统的管理维护等工作。依法监管网络商品交易、查处网络交易违法行为。,具有较强的组织协调和语言文字表达能力，具有较高的计算机操作水平。,,False,0,False,0,1
1359,医学 ,,卫生健康管理,不限,学士,本科,413,1,静安区,不限,不限,市场监管局,2011360,医疗器械监督管理科一级科员,负责医疗器械的安全监督管理，组织开展医疗器械的生产、经营和使用环节的日常监督检查以及监督性抽验。,具有较强的组织协调和语言文字表达能力。,,False,0,False,0,1
1360,"会计学,财务管理 ","会计学,工商管理类 ",财经管理,不限,学士,本科及以上,414,1,静安区,不限,不限,卫生健康委,2011361,财务科一级科员,从事区卫健委财务工作，协助科长开展区卫生健康系统财务管理工作。,具有较强的组织协调和语言文字表达能力，具有与职位相关的工作技能。,研究生为会计和财务管理专业者优先。 ,False,0,False,0,1
1361,公共卫生与预防医学类 ,不限 ,卫生健康管理,不限,学士,本科及以上,415,1,静安区,不限,不限,卫生健康委,2011362,公共卫生管理科一级科员,协助负责疾病预防控制工作，负责公共卫生项目管理 。,具有较强的组织协调和语言文字表达能力，有公共卫生相关工作经验。,研究生专业为医学者优先。 ,False,0,False,0,1
1362,管理学 ,管理学 ,财经管理,不限,学士,本科及以上,416,1,静安区,不限,不限,南京西路街道,2011363,党政办公室四级主任科员及以下,从事街道财务会计核算等相关工作。,具有较强的组织协调和语言文字表达能力，熟练操作办公自动化软件。,熟练使用财务用友软件者优先；持有会计从业资格证书者优先；具有社区工作经历者优先。 ,False,0,False,0,1
1363,不限 ,不限 ,综合管理,不限,学士,本科及以上,417,1,静安区,不限,不限,大宁路街道,2011364,社区管理办公室四级主任科员及以下,开展居住小区综合管理、防台防汛、抢险救灾等社区管理工作。,能够服从防台防汛及突发事件夜间值班安排，身体素质好。,中共党员优先；具有相关工作经历者优先；防台防汛期间，须夜间值班。 ,False,0,False,0,1
1364,不限 ,不限 ,综合管理,不限,学士,本科及以上,418,1,静安区,不限,中共党员,宝山路街道,2011365,党群工作办公室一级科员,负责信息宣传、网络平台管理、精神文明建设等工作。,具有较强的组织协调和语言文字表达能力，熟悉计算机操作以及网络平台运作。,有党群工作经验者优先。 ,False,0,False,0,1
1365,不限 ,不限 ,综合管理,不限,学士,本科及以上,419,1,静安区,不限,中共党员,宝山路街道,2011366,社区平安办公室一级科员,从事辖区内社区治安综合管理、平安建设、信访接待、社区稳控等工作。,具备较强的群众工作能力和应对突发事件、处理复杂问题的能力。具有较强的组织协调和语言文字表达能力。,身体素质好，需要夜班值守。 ,False,0,False,0,1
1366,"经济学,管理学 ",,财经管理,不限,学士,本科,420,1,静安区,不限,不限,共和新路街道,2011367,社区党政办公室一级科员,从事街道年度财政预算制定、执行和决算，负责街道财务管理、资金管理、内部审计等财务相关工作。,熟悉财务会计工作。,持有会计从业资格证书者优先；财务专业或有财务管理工作经验者优先；中共党员优先。 ,False,0,False,0,1
